name,r_p,gain,cover_call,quarter,down,dist,line,line_type,play_note,action,opponent
"18 04 HARVARD DEF vs CORNELL OFF, Play 018",P,0,BUC,2,3,10,DOUBLES,2X2,DB,NA,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 019",P,6,REBEL,2,1,10,TREO,3X1 NUB,SCREEN,DB,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 020",R,17,HILL,2,2,4,TREO,3X1 NUB,STRETCH,READ LB,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 021",R,6,HILL,2,1,10,TRIPS,3X1,ZONE,SPLIT READ LB,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 022",P,0,HILL,2,2,4,TWINS,2X2 NUB,PAP,ZONE GRIND,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 023",R,12,HILL,2,1,10,DOUBLES,2X2,ZONE,READ,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 024",R,-4,HILL,2,1,20,TRIPS,3X1,OZ,READ FOLD,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 025",P,-1,SPACE,2,2,24,TRIPS,3X1,SCREEN,READ,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 026",R,12,SKY,2,3,25,TREY,3X1,ZONE,READ,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 027",P,26,SPACE,2,1,10,TREO,3X1 NUB,DB,NA,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 028",P,0,REBEL,2,1,10,DOUBLES,2X2,DB,NA,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 029",P,0,REBEL,2,2,10,TREO,3X1 NUB,SCREEN,DB,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 030",P,0,SALUTE,2,3,10,TREO,3X1 NUB,DB,NA,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 031",P,-9,WHACK,2,4,10,DOUBLES,2X2,DB,NA,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 032",R,4,REBEL,3,1,10,TRIPS,3X1,OZ,READ FOLD,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 033",R,3,HILL,3,2,6,TREO,3X1 NUB,ZONE,READ,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 034",R,0,REBEL,3,3,3,DOS,2X2,ZONE,BLIND,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 035",R,45,SPACE,3,1,10,TRIPS,3X1,ZONE,SPLIT READ LB,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 036",R,-2,HILL,3,1,10,TREO,3X1 NUB,STRETCH,READ LB,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 037",R,32,HILL,3,2,12,TREO,3X1 NUB,GAP,READ LB,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 038",R,-2,HILL,3,1,10,DOS,2X2,STRETCH,NA,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 039",R,1,HILL,3,2,12,TREO,3X1 NUB,WRAP,OT FLOP,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 040",P,6,WEASEL,3,3,11,TREY,3X1,DB,NA,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 041",R,0,HILL,3,1,10,DOUBLES,2X2,ZONE,READ,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 042",R,15,REBEL,4,2,10,TWINS,2X2 NUB,ZONE,BLUFF,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 043",R,1,HILL,4,1,10,SLEDGE,2X1 NUB,POWER,NA,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 044",R,0,REBEL,4,2,9,TRIPS,3X1,OZ,READ LB FOLD,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 045",P,0,REBEL,4,3,9,DOUBLES,2X2,SCREEN,READ,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 046",R,6,HILL,4,1,10,TREY,3X1,GAP,READ LB,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 047",P,10,HILL,4,2,4,DOS,2X2,DB,NA,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 048",R,3,HILL,4,1,10,DOS,2X2,ZONE,BLIND,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 049",R,-1,REBEL,4,2,7,TREO,3X1 NUB,STRETCH,READ LB,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 050",P,10,QUAKE,4,3,8,DOUBLES,2X2,DB,NA,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 051",P,13,HILL,4,1,10,TREO,3X1 NUB,PAP,ZONE READ,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 052",R,34,HILL,4,1,10,TREO,3X1 NUB,ZONE,READ,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 053",R,5,HILL,4,1,10,DOUBLES,2X2,GAP,READ LB,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 054",R,12,HILL,4,2,5,TREY,3X1,DRAW,READ LB,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 055",R,13,HILL,4,1,10,DOUBLES,2X2,ZONE,READ,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 056",P,33,REBEL,4,1,10,DOUBLES,2X2,PAP,ZONE READ,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 057",R,0,HILL,4,1,10,TREO,3X1 NUB,STRETCH,QB LEAD,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 058",R,4,HILL,4,2,10,TWINS,2X2 NUB,ZONE,BLUFF,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 059",R,0,HILL,4,3,6,TREY,3X1,GAP,READ LB,Cornell University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 001",R,6,DOME,1,1,10,DOUBLES,2X2,WRAP,READ,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 002",R,7,DOME,1,2,4,TREY,3X1,WRAP,READ,Holy Cross University
