name,r_p,gain,cover_call,opponent
"18 04 HARVARD DEF vs CORNELL OFF, Play 023",R,12,HILL,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 024",R,-4,HILL,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 025",P,-1,SPACE,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 026",R,12,SKY,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 027",P,26,SPACE,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 028",P,0,REBEL,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 029",P,0,REBEL,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 030",P,0,SALUTE,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 031",P,-9,WHACK,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 032",R,4,REBEL,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 033",R,3,HILL,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 034",R,0,REBEL,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 035",R,45,SPACE,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 036",R,-2,HILL,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 037",R,32,HILL,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 038",R,-2,HILL,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 039",R,1,HILL,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 040",P,6,WEASEL,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 041",R,0,HILL,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 042",R,15,REBEL,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 043",R,1,HILL,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 044",R,0,REBEL,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 045",P,0,REBEL,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 046",R,6,HILL,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 047",P,10,HILL,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 048",R,3,HILL,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 049",R,-1,REBEL,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 050",P,10,QUAKE,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 051",P,13,HILL,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 052",R,34,HILL,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 053",R,5,HILL,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 054",R,12,HILL,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 055",R,13,HILL,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 056",P,33,REBEL,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 057",R,0,HILL,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 058",R,4,HILL,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 059",R,0,HILL,Cornell University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 001",R,6,DOME,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 002",R,7,DOME,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 003",R,3,MUSKET,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 004",P,6,DOME,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 005",R,-1,HILL,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 006",R,9,DOME,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 007",R,9,MUSKET,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 008",R,-2,DOME,Holy Cross University
